State,Democratic,Republican,Other
AL,,,
AK,,,
AS,,,
AZ,1036542,1104457,102423
AR,,,
CA,7864624,4713887,
CO,,,
CT,792983,604569,114212
DE,265415,115700,18492
DC,,,
FL,4523451,3458267,208228
GA,,,
GU,,,
HI,269489,160994,
ID,,,
IL,,,
IN,1281181,1133621,145300
IA,,,
KS,,,
KY,,,
LA,,,
ME,92900,215399,392300
MD,1474028,693291,465896
MA,1696346,1458048,2159
MI,2735826,1767386,149706
MN,1854595,867974,120638
MS,503467,709626,28475
MO,1494125,1066159,165509
MT,236123,218051,31892
NE,332979,455593,
NV,446080,457656,94069
NH,,,
NJ,1985783,1329405,59480
NM,395717,351260,28816
NY,4432525,1517578,729575
NC,,,
ND,161163,158282,1406
MP,,,
OH,2762766,2435744,250617
OK,,,
OR,,,
PA,3021364,2509132,98995
PR,,,
RI,271034,146222,933
SC,,,
SD,,,
TN,705882,1506443,109152
TX,3194927,4440137,229758
UT,301873,657608,47420
VT,0,72898,219864
VI,,,
VA,2010067,1785542,6587
WA,1855493,1213924,
WV,399898,240787,19517
WI,1547104,1380126,82181
WY,53019,185250,6593
